OBJECTID,admin1Name_en,admin1Name_mn,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_mn,admin1AltName2_mn,admin0Name_en,admin0Name_mn,admin0Pcode,date,validOn,validTo,region_en
1,Darkhan-Uul,Дархан-Уул,MN45,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Central region
2,Dornogovi,Дорноговь,MN44,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Central region
3,Dundgovi,Дундговь,MN48,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Central region
4,Govisumber,Говьсүмбэр,MN42,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Central region
5,Omnogovi,Өмнөговь,MN46,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Central region
6,Selenge,Сэлэнгэ,MN43,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Central region
7,To'v,Төв,MN41,Tov,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Central region
8,Dornod,Дорнод,MN21,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Eastern region
9,Hentii,Хэнтий,MN23,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Eastern region
10,Sukhbaatar,Сүхбаатар,MN22,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Eastern region
11,Ulaanbaatar,Улаанбаатар,MN11,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Eastern region
12,Arxangai,Архангай,MN65,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Khangai region
13,Bayankhongor,Баянхонгор,MN64,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Khangai region
14,Bulgan,Булган,MN63,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Khangai region
15,Khovsgol,Хөвсгөл,MN67,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Khangai region
16,Orkhon,Орхон,MN61,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Khangai region
17,Ovorkhangai,Өвөрхангай,MN62,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Khangai region
18,Bayan-Olgii,Баян-Өлгий,MN83,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Western region
19,Govi-Altai,Говь-Алтай,MN82,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Western region
20,Khovd,Ховд,MN84,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Western region
21,Uvs,Увс,MN85,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Western region
22,Zavkhan,Завхан,MN81,NA,NA,NA,NA,NA,Mongolia,монгол,MN,1480550400000,1603065600000,NA,Western region
