OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Timphisini,SZ101,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
2,Ntfonjeni,SZ102,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
3,Mayiwane,SZ103,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
4,Mhlangatane,SZ104,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
5,Ndzingeni,SZ105,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
6,Madlangempisi,SZ106,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
7,Maphalaleni,SZ107,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
8,Pigg's Peak,SZ108,Piggs Peak,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
9,Nkhaba,SZ109,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
10,Motjane,SZ110,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
11,Mbabane West,SZ111,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
12,Mbabane East,SZ112,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
13,Hhukwini,SZ113,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
14,Lobamba,SZ114,NA,NA,NA,Hhohho,SZ1,Eswatini,SZ,1589328000000,1611705600000,NA
15,Mkhiweni,SZ215,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
16,Kukhanyeni,SZ216,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
17,Mafutseni,SZ217,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
18,Mthongwaneni,SZ218,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
19,Manzini North,SZ219,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
20,Manzini South,SZ220,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
21,Kwaluseni,SZ221,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
22,Ludzeludze,SZ222,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
23,Lobamba Lomdzala,SZ223,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
24,Nhlambeni,SZ224,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
25,Ntondozi,SZ225,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
26,La-Mgabhi,SZ226,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
27,Mhlambanyatsi,SZ227,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
28,Mangcongco,SZ228,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
29,Ngwempisi,SZ229,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
30,Mahlangatsha,SZ230,NA,NA,NA,Manzini,SZ2,Eswatini,SZ,1589328000000,1611705600000,NA
31,Kubuta,SZ331,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
32,Nkwene,SZ332,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
33,Mtsambama,SZ333,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
34,Gege,SZ334,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
35,Mbangweni,SZ335,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
36,Maseyisini,SZ336,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
37,Sandleni,SZ337,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
38,Ngudzeni,SZ338,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
39,Zombodze,SZ339,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
40,Shiselweni,SZ340,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
41,Hosea,SZ341,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
42,Sigwe,SZ342,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
43,Matsanjeni South,SZ343,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
44,Somntongo,SZ344,NA,NA,NA,Shiselweni,SZ3,Eswatini,SZ,1589328000000,1611705600000,NA
45,Lubuli,SZ445,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
46,Sithobela,SZ446,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
47,Nkilongo,SZ447,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
48,Siphofaneni,SZ448,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
49,Mpolonjeni,SZ449,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
50,Matsanjeni North,SZ450,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
51,Lugongolweni,SZ451,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
52,Dvokodvweni,SZ452,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
53,Hlane,SZ453,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
54,Mhlume,SZ454,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
55,Lomahasha,SZ455,NA,NA,NA,Lubombo,SZ4,Eswatini,SZ,1589328000000,1611705600000,NA
